FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100130;1200;17;;;
100130;1300;14;;;
100130;1400;12;;;
100130;1500;6;;;
100130;1600;14;;;
100130;1700;22;;;
100130;1800;15;;;
100130;1900;14;;;
100130;2000;15;;;
100130;2100;17;;;
100130;2200;20;;;
100130;2300;33;;;
100131;0000;39;;;
100131;0100;35;;;
100131;0200;32;;;
100131;0300;25;;;
100131;0400;42;;;
100131;0500;17;;;
100131;0600;17;;;
100131;0700;20;;;
100131;0800;17;;;
100131;0900;20;;;
100131;1000;25;;;
100131;1100;29;;;
100131;1200;27;;;
100131;1300;22;;;
100131;1400;21;;;
100131;1500;19;;;
100131;1600;18;;;
100131;1700;12;;;
100131;1800;17;;;
100131;1900;13;;;
100131;2000;14;;;
100131;2100;16;;;
100131;2200;21;;;
100131;2300;25;;;
100201;0000;19;;;
100201;0100;20;;;
100201;0200;13;;;
100201;0300;14;;;
100201;0400;14;;;
100201;0500;18;;;
100201;0600;20;;;
100201;0700;23;;;
100201;0800;21;;;
100201;0900;18;;;
100201;1000;18;;;
100201;1100;27;;;
100201;1200;37;;;
100201;1300;;;0;
100201;1400;;;40;
100201;1500;;;32,5;
100201;1600;;;50;
100201;1700;;;21;
100201;1800;;;29;
100201;1900;;;14;
100201;2000;;;27;
100201;2100;7;;;
100201;2200;12;;;
100201;2300;12;;;
100202;0000;19;;;
100202;0100;20;;;
100202;0200;17;;;
100202;0300;13;;;
100202;0400;13;;;
100202;0500;19;;;
100202;0600;28;;;
100202;0700;32;;;
100202;0800;42;;;
100202;0900;32;;;
100202;1000;29;;;
100202;1100;21;;;
100202;1200;21;;;
100202;1300;20;;;
100202;1400;15;;;
100202;1500;21;;;
100202;1600;24;;;
100202;1700;22;;;
100202;1800;18;;;
100202;1900;8;;;
100202;2000;15;;;
100202;2100;26;;;
100202;2200;15;;;
100202;2300;12;;;
100203;0000;11;;;
100203;0100;9;;;
100203;0200;11;;;
100203;0300;15;;;
100203;0400;15;;;
100203;0500;16;;;
100203;0600;21;;;
100203;0700;25;;;
100203;0800;24;;;
100203;0900;60;;;
100203;1000;29;;;
100203;1100;18;;;
100203;1200;25;;;
100203;1300;17;;;
100203;1400;11;;;
100203;1500;9;;;
100203;1600;5;;;
100203;1700;16;;;
100203;1800;33;;;
100203;1900;22;;;
100203;2000;14;;;
100203;2100;20;;;
100203;2200;28;;;
100203;2300;19;;;
100204;0000;19;;;
100204;0100;17;;;
100204;0200;15;;;
100204;0300;15;;;
100204;0400;16;;;
100204;0500;15;;;
100204;0600;21;;;
100204;0700;30;;;
100204;0800;51;;;
100204;0900;29;;;
100204;1000;31;;;
100204;1100;31;;;
100204;1200;20;;;
100204;1300;15;;;
100204;1400;12;;;
100204;1500;13;;;
100204;1600;10;;;
100204;1700;17;;;
100204;1800;18;;;
100204;1900;16;;;
100204;2000;16;;;
100204;2100;23;;;
100204;2200;21;;;
100204;2300;22;;;
100205;0000;21;;;
100205;0100;20;;;
100205;0200;24;;;
100205;0300;19;;;
100205;0400;25;;;
100205;0500;30;;;
100205;0600;33;;;
100205;0700;41;;;
100205;0800;47;;;
100205;0900;35;;;
100205;1000;74;;;
100205;1100;69;;;
100205;1200;30;;;
100205;1300;50;;;
100205;1400;44;;;
100205;1500;19;;;
100205;1600;24;;;
100205;1700;22;;;
100205;1800;16;;;
100205;1900;14;;;
100205;2000;15;;;
100205;2100;21;;;
100205;2200;18;;;
100205;2300;20;;;
100206;0000;20;;;
100206;0100;7;;;
100206;0200;9;;;
100206;0300;12;;;
100206;0400;13;;;
100206;0500;11;;;
100206;0600;18;;;
100206;0700;24;;;
100206;0800;25;;;
100206;0900;26;;;
100206;1000;48;;;
100206;1100;76;;;
100206;1200;35;;;
100206;1300;14;;;
100206;1400;17;;;
100206;1500;14;;;
100206;1600;15;;;
100206;1700;22;;;
100206;1800;14;;;
100206;1900;11;;;
100206;2000;7;;;
100206;2100;12;;;
100206;2200;11;;;
100206;2300;13;;;
100207;0000;15;;;
100207;0100;14;;;
100207;0200;15;;;
100207;0300;14;;;
100207;0400;17;;;
100207;0500;12;;;
100207;0600;18;;;
100207;0700;24;;;
100207;0800;25;;;
100207;0900;16;;;
100207;1000;17;;;
100207;1100;20;;;
100207;1200;14;;;
100207;1300;11;;;
100207;1400;11;;;
100207;1500;10;;;
100207;1600;8;;;
100207;1700;12;;;
100207;1800;10;;;
100207;1900;18;;;
100207;2000;12;;;
100207;2100;15;;;
100207;2200;16;;;
100207;2300;14;;;
100208;0000;14;;;
100208;0100;17;;;
100208;0200;13;;;
100208;0300;7;;;
100208;0400;11;;;
100208;0500;12;;;
100208;0600;15;;;
100208;0700;28;;;
100208;0800;16;;;
100208;0900;16;;;
100208;1000;15;;;
100208;1100;20;;;
100208;1200;12;;;
100208;1300;2;;;
100208;1400;15;;;
100208;1500;7;;;
100208;1600;15;;;
100208;1700;12;;;
100208;1800;16;;;
100208;1900;54;;;
100208;2000;21;;;
100208;2100;36;;;
100208;2200;33;;;
100208;2300;25;;;
100209;0000;21;;;
100209;0100;16;;;
100209;0200;17;;;
100209;0300;18;;;
100209;0400;13;;;
100209;0500;18;;;
100209;0600;26;;;
100209;0700;29;;;
100209;0800;128;;;
100209;0900;50;;;
100209;1000;80;;;
100209;1100;70;;;
100209;1200;22;;;
100209;1300;18;;;
100209;1400;17;;;
100209;1500;22;;;
100209;1600;21;;;
100209;1700;16;;;
100209;1800;15;;;
100209;1900;17;;;
100209;2000;16;;;
100209;2100;17;;;
100209;2200;16;;;
