O3,CO,PM25,NOX
43.0,0.3,25.0,21.0
57.0,0.3,29.0,14.0
58.0,0.2,17.0,5.0
60.0,0.2,14.0,5.0
58.0,0.2,12.0,5.0
51.0,0.0999998,6.0,4.0
51.0,0.0999998,14.0,3.0
46.0,0.0999998,22.0,6.0
34.0,0.2,15.0,10.0
25.0,0.2,14.0,14.0
16.0,0.3,15.0,21.0
8.0,0.4,17.0,30.0
5.0,0.5,20.0,34.0
4.0,1.1,33.0,62.0
5.0,1.3,39.0,75.0
5.0,1.1,35.0,70.0
4.0,1.0,32.0,59.0
4.0,0.7,25.0,41.0
4.0,0.7,42.0,40.0
4.0,0.599998,17.0,38.0
5.0,0.5,17.0,34.0
13.0,0.4,20.0,24.0
26.0,0.2,17.0,16.0
39.0,0.3,20.0,17.0
60.0,0.3,25.0,17.0
81.0,0.3,29.0,13.0
72.0,0.2,27.0,6.0
64.0,0.0999998,22.0,4.0
64.0,0.0999998,21.0,3.0
60.0,0.0999998,19.0,4.0
57.0,0.0999998,18.0,4.0
53.0,0.0999998,12.0,4.0
46.0,0.2,17.0,6.0
27.0,0.2,13.0,11.0
13.0,0.3,14.0,21.0
5.0,0.5,16.0,31.0
4.0,0.599998,21.0,46.0
4.0,1.1,25.0,67.0
4.0,0.599998,19.0,50.0
4.0,0.4,20.0,35.0
4.0,0.3,13.0,28.0
5.0,0.2,14.0,17.0
5.0,0.2,14.0,18.0
4.0,0.3,18.0,45.0
4.0,0.599998,20.0,63.0
8.0,0.7,23.0,64.0
20.0,0.2,21.0,26.0
24.0,0.3,18.0,38.0
46.0,0.2,18.0,20.0
61.0,0.2,27.0,21.0
80.0,0.2,37.0,13.0
76.0,0.0999998,0.0,6.0
69.0,0.0999998,40.0,5.0
63.0,0.0999998,32.5,4.0
57.0,0.0999998,50.0,6.0
41.0,0.0999998,21.0,12.0
31.0,0.0999998,29.0,14.0
19.0,0.0999998,14.0,17.0
10.0,0.2,27.0,21.0
9.0,0.2,7.0,18.0
9.0,0.0999998,12.0,15.0
5.0,0.2,12.0,23.0
4.0,0.3,19.0,29.0
4.0,0.3,20.0,26.0
4.0,0.3,17.0,37.0
4.0,0.2,13.0,21.0
4.0,0.2,13.0,18.0
4.0,0.4,19.0,48.0
5.0,0.7,28.0,92.0
6.0,0.799996,32.0,114.0
10.0,0.5,42.0,77.0
17.0,0.4,32.0,66.0
31.0,0.2,29.0,35.0
41.0,0.0999998,21.0,16.0
48.0,0.0999998,21.0,9.0
48.0,0.0999998,20.0,6.0
44.0,0.0999998,15.0,5.0
44.0,0.0999998,21.0,6.0
45.0,0.0999998,24.0,6.0
40.0,0.0999998,22.0,6.0
33.0,0.0999998,18.0,7.0
26.0,0.0999998,8.0,9.0
20.0,0.0999998,15.0,13.0
16.0,0.2,26.0,14.0
13.0,0.2,15.0,14.0
11.0,0.2,12.0,14.0
12.0,0.0999998,11.0,12.0
13.0,0.0999998,9.0,8.0
9.0,0.0999998,11.0,10.0
6.0,0.0999998,15.0,12.0
4.0,0.2,15.0,15.0
3.0,0.2,16.0,20.0
4.0,0.4,21.0,44.0
6.0,0.5,25.0,54.0
11.0,0.4,24.0,50.0
19.0,0.3,60.0,33.0
32.0,0.2,29.0,20.0
41.0,0.0999998,18.0,9.0
47.0,0.0999998,25.0,6.0
49.0,0.0999998,17.0,5.0
48.0,0.0999998,11.0,4.0
48.0,0.0999998,9.0,3.0
44.0,0.0999998,5.0,3.0
39.0,0.0999998,16.0,5.0
30.0,0.0999998,33.0,7.0
16.0,0.0999998,22.0,13.0
8.0,0.2,14.0,18.0
4.0,0.3,20.0,28.0
4.0,0.4,28.0,36.0
4.0,0.3,19.0,28.0
5.0,0.4,19.0,36.0
4.0,0.4,17.0,40.0
4.0,0.3,15.0,27.0
4.0,0.2,15.0,23.0
4.0,0.3,16.0,31.0
4.0,0.4,15.0,43.0
4.0,0.7,21.0,79.0
6.0,0.7,30.0,83.0
12.0,0.599998,51.0,66.0
26.0,0.3,29.0,34.0
40.0,0.3,31.0,24.0
54.0,0.2,31.0,10.0
59.0,0.2,20.0,5.0
60.0,0.0999998,15.0,5.0
57.0,0.0999998,12.0,5.0
51.0,0.0999998,13.0,4.0
45.0,0.0999998,10.0,5.0
38.0,0.0999998,17.0,8.0
31.0,0.2,18.0,12.0
22.0,0.2,16.0,16.0
15.0,0.2,16.0,21.0
12.0,0.3,23.0,23.0
10.0,0.3,21.0,23.0
5.0,0.4,22.0,31.0
4.0,0.5,21.0,36.0
4.0,0.4,20.0,30.0
4.0,0.4,24.0,27.0
4.0,0.4,19.0,29.0
4.0,0.4,25.0,32.0
4.0,0.4,30.0,46.0
4.0,0.7,33.0,81.0
5.0,0.799996,41.0,95.0
13.0,0.5,47.0,55.0
22.0,0.4,35.0,39.0
39.0,0.3,74.0,24.0
51.0,0.2,69.0,15.0
60.0,0.2,30.0,11.0
60.0,0.2,50.0,7.0
58.0,0.0999998,44.0,4.0
